Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
пгт Елецкий;20768;Республика Коми;ГО Воркута;Елецкий;пгт;252;46;67.02.41;064.12.53;67.04472222;64.21472222;87710000061;1;0;пгт
д. Усть-Кожа;92760;Архангельская область;Онежский муниципальный район;Усть-Кожа;д;251;51;63.37.50;038.43.32;63.63055556;38.72555556;11646436166;0;1;деревня
пос. Раякоски;27150;Мурманская область;Печенгский муниципальный район;Раякоски;нп;250;45;69.01.15;029.00.26;69.02083333;29.00722222;47615151111;1;0;поселок
с. Оленегорск;125700;Республика Саха (Якутия);Аллаиховский;Оленегорск (село);с;248;72;69.48.41;147.29.11;69.81138889;147.4863889;98606476101;1;0;село
д. Исакогорка;23828;Архангельская область;Приморский муниципальный район;Исакогорка;д;246;46;64.26.50;040.37.11;64.44722222;40.61972222;11652436141;1;0;деревня
пос. Мамониха;61447;Архангельская область;Пинежский муниципальный район;Мамониха;п;246;42;63.24.52;046.07.05;63.41444444;46.11805556;11648432111;0;1;поселок
д. Степановская (МР Усть-Цилемский);10329;Республика Коми;МР Усть-Цилемский;Степановская (МР Усть-Цилемский);д;246;48;64.58.29;051.53.22;64.97472222;51.88944444;87652435131;0;1;деревня
с. Алькатваам;144542;Чукотский автономный округ;Анадырский район;Алькатваам;с;245;86;63.07.48;179.01.44;63.13;179.0288889;77603470101;0;1;село
пос. Пертоминск;14471;Архангельская область;Приморский муниципальный район;Пертоминск;п;245;53;64.47.39;038.24.38;64.79416667;38.41055556;11652448101;0;1;поселок
с. Айон;109090;Чукотский автономный округ;Чаунский район;Айон;с;242;59;69.55.20;167.57.14;69.92222222;167.9538889;77705000106;1;0;село
пос. Панозеро;154335;Республика Карелия;Кемский;Панозеро (поселок);п;242;53;64.58.23;032.51.45;64.97305556;32.8625;86612437111;0;1;поселок
с. Хатынгнах;153052;Республика Саха (Якутия);Среднеколымский;Хатынгнах;с;241;85;67.29.35;152.36.13;67.49305556;152.6036111;98646448101;0;1;село
пос. Кепа;139232;Республика Карелия;Калевальский национальный;Кепа;п;240;40;65.09.11;032.10.02;65.15305556;32.16722222;86609455111;0;1;поселок
пос. Зеленый Яр;106888;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Зеленый Яр;п;238;80;66.19.20;067.20.24;66.32222222;67.34;71918403106;0;1;поселок
пос. Нидым;10031;Красноярский край;Эвенкийский район;Нидым;п;238;85;64.06.56;099.55.03;64.11555556;99.9175;4650438101;0;1;поселок
с. Джаргалах;110763;Республика Саха (Якутия);Эвено-Бытантайский национальный;Джаргалах;с;236;54;67.16.22;130.32.42;67.27277778;130.545;98659405101;0;1;село
с. Нелемное;30183;Республика Саха (Якутия);Верхнеколымский;Нелемное;с;235;59;65.29.53;151.04.43;65.49805556;151.0786111;98615414101;0;1;село
с. Коровий Ручей;106094;Республика Коми;МР Усть-Цилемский;Коровий Ручей;с;233;36;65.25.15;052.13.37;65.42083333;52.22694444;87652415101;0;1;село
пос. Ковкула;58762;Архангельская область;Онежский муниципальный район;Ковкула;п;232;52;63.23.48;039.07.18;63.39666667;39.12166667;11646444321;0;1;поселок
пос. Лейпи;4817;Мурманская область;Городской округ Ковдорский район;Лейпи;нп;232;16;67.29.51;030.42.36;67.4975;30.71;47703000121;1;0;поселок
ст. Лопарская;69805;Мурманская область;Кольский муниципальный район;Лопарская;ж/д_ст;229;39;68.37.58;033.13.49;68.63277778;33.23027778;47605404131;1;0;станция
пос. Нижнеянск;16573;Республика Саха (Якутия);Усть-Янский;Нижнеянск;п;229;0;71.26.26;136.08.49;71.44055556;136.1469444;98656159051;0;1;поселок
д. Пиринемь;10814;Архангельская область;Пинежский муниципальный район;Пиринемь;д;229;43;64.13.45;044.13.33;64.22916667;44.22583333;11648425101;0;1;деревня
д. Сояна;61220;Архангельская область;Мезенский муниципальный район;Сояна;д;229;44;65.46.34;043.23.37;65.77611111;43.39361111;11642446101;0;1;деревня
с. Угольное;42264;Республика Саха (Якутия);Верхнеколымский;Угольное;с;228;52;65.44.59;149.44.52;65.74972222;149.7477778;98615427;1;0;село
пос. Хонгурей;83403;Ненецкий автономный округ;Заполярный район;Хонгурей;п;227;37;67.33.28;051.57.19;67.55777778;51.95527778;11811463106;0;1;поселок
пос. Юсьтыдор;131917;Республика Коми;ГО Инта;Юсьтыдор;п;226;38;66.03.14;060.05.16;66.05388889;60.08777778;87715000146;0;1;поселок
с. Черюмче;72522;Республика Саха (Якутия);Верхоянский;Черюмче;с;223;95;68.13.45;134.57.52;68.22916667;134.9644444;98616460101;0;1;село
д. Пустошь;73177;Архангельская область;Приморский муниципальный район;Пустошь;д;221;48;64.35.13;040.26.13;64.58694444;40.43694444;11652446296;0;1;деревня
с. Тамица;17117;Архангельская область;Онежский муниципальный район;Тамица;с;221;50;64.09.39;038.02.07;64.16083333;38.03527778;11646432136;0;1;село
пос. Бахта;147213;Красноярский край;Туруханский район;Бахта;п;220;48;62.27.48;089.00.15;62.46333333;89.00416667;4654701912;0;1;поселок
д. Лабожское;11786;Ненецкий автономный округ;Заполярный район;Лабожское;д;220;34;67.19.54;052.05.35;67.33166667;52.09305556;11811434106;0;1;деревня
с. Ценогора;154400;Архангельская область;Лешуконский муниципальный район;Ценогора;с;218;39;64.52.58;046.43.02;64.88277778;46.71722222;11638424101;1;0;село
с. Кулун-Елбют;89150;Республика Саха (Якутия);Момский национальный;Кулун-Елбют;с;217;66;66.47.33;142.44.09;66.7925;142.7358333;98633405101;0;1;село
пос. Плотина;34768;Республика Карелия;Лоухский;Плотина;п;214;30;66.11.48;033.21.46;66.19666667;33.36277778;86621452101;0;1;поселок
пос. Синегорье;134403;Республика Коми;МР Усть-Цилемский;Синегорье;п;214;35;65.26.53;051.58.40;65.44805556;51.97777778;87652440106;1;0;поселок
пос. Усадор;69447;Республика Коми;ГО Усинск;Усадор;п;212;43;66.01.36;057.29.50;66.02666667;57.49722222;87723000126;0;1;поселок
пос. Чиринда;15048;Красноярский край;Эвенкийский район;Чиринда;п;211;86;67.32.36;100.24.25;67.54333333;100.4069444;4650450101;0;1;поселок
пос. Мишуково;144780;Мурманская область;Кольский муниципальный район;Мишуково;нп;210;39;69.02.42;033.02.16;69.045;33.03777778;47605402111;1;0;поселок
с. Илирней;12321;Чукотский автономный округ;Билибинский район;Илирней;с;208;36;67.15.22;167.57.27;67.25611111;167.9575;77609415101;0;1;село
